# DISTANCE:     AVE_GOFR:        ERROR:
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913   0.0012753 0.000303798
    0.910562   0.0268987  0.00135169
    0.936212     0.17552  0.00409563
    0.961861    0.573117  0.00994652
    0.987511     1.19576   0.0116972
     1.01316     1.83914   0.0121132
     1.03881     2.27754  0.00963226
     1.06446     2.47231   0.0118608
     1.09011     2.48463   0.0163015
     1.11576      2.3379   0.0139716
     1.14141     2.14965   0.0196119
     1.16706     1.89746   0.0139756
     1.19271     1.71388   0.0119761
     1.21836     1.51364  0.00967323
     1.24401     1.34091  0.00745062
     1.26966     1.22166   0.0103867
     1.29531     1.10167  0.00900286
     1.32096    0.990471  0.00630802
     1.34661    0.921603  0.00724788
     1.37226    0.853867   0.0052048
     1.39791     0.79188  0.00455146
     1.42355    0.753786  0.00676448
      1.4492    0.731806  0.00993139
     1.47485    0.712928  0.00521826
      1.5005    0.687461  0.00865157
     1.52615    0.669856  0.00794861
      1.5518    0.658224  0.00452823
     1.57745    0.664582  0.00523815
      1.6031    0.679412   0.0049209
     1.62875    0.683962  0.00353152
      1.6544    0.686576  0.00767483
     1.68005    0.711008  0.00554947
      1.7057    0.742392  0.00525748
     1.73135    0.774427  0.00650206
       1.757    0.808964  0.00462559
     1.78265    0.840836  0.00517306
      1.8083    0.869723  0.00505245
     1.83395     0.92064  0.00726993
      1.8596    0.981074  0.00521706
     1.88525     1.01375   0.0072217
      1.9109     1.04625  0.00593706
     1.93655     1.08194  0.00446006
      1.9622     1.12401  0.00592847
     1.98785     1.14639  0.00335804
      2.0135     1.16185  0.00407842
     2.03915     1.18541    0.011068
      2.0648     1.19558  0.00798139
     2.09045     1.20532  0.00321552
      2.1161     1.18998   0.0064164
     2.14174     1.17235  0.00600731
     2.16739     1.15622  0.00628206
     2.19304     1.13811  0.00358637
     2.21869       1.119  0.00692593
     2.24434     1.08105  0.00561086
     2.26999     1.05444  0.00558621
     2.29564     1.02438  0.00621065
     2.32129     1.00902   0.0047586
     2.34694    0.976801  0.00457758
     2.37259    0.953743   0.0049027
     2.39824    0.930002  0.00528576
     2.42389    0.909594  0.00495782
     2.44954    0.894938  0.00516031
     2.47519    0.886181   0.0047551
     2.50084    0.884259  0.00472339
